Ticker,Sector,Industry,MarketCap,PE_Ratio,PB_Ratio,EPS,RevenueGrowth,DebtToEquity,CurrentPrice,ForwardPE,ProfitMargin,ROE,Name
BG,Consumer Defensive,Farm Products,25296082944.0,34.40106,1.5765418,3.79,0.878,93.214,130.38,12.287389,0.00848,0.04933,Bunge Global SA
MAR,Consumer Cyclical,Lodging,93942325248.0,37.317894,-24.99436,9.5,0.063,,354.52,27.29239,0.37252998,,"Marriott International, Inc."
BHP,Basic Materials,Other Industrial Metals & Mining,201296936960.0,19.662529,3.9903312,4.03,0.108,52.639,79.24,14.895521,0.18972999,0.24712999,BHP Group Limited
ADAG,Healthcare,Biotechnology,239182768.0,,4.8525467,-0.38,73.328,12.068,3.62,-6.9615383,-2.29561,-0.34386003,Adagene Inc.
ANZ.AX,Financial Services,Banks - Diversified,111618891776.0,18.817259,1.5527351,1.97,-0.021,,37.07,14.529676,0.27417,0.082440004,ANZ Group Holdings Limited
AIR.PA,Industrials,Aerospace & Defense,147558039552.0,29.611376,5.655493,6.33,-0.066,55.655,187.44,21.800064,0.06913,0.19748,Airbus SE
EVRG,Utilities,Utilities - Regulated Electric,18793488384.0,22.297813,1.8384771,3.66,0.066,149.917,81.61,17.975296,0.14352,0.08569,"Evergy, Inc."
2318.HK,Financial Services,Insurance - Life,1162510598144.0,7.7163463,0.99543935,8.32,-0.033,140.542,64.2,5.915092,0.13935,0.11279,"Ping An Insurance (Group) Company of China, Ltd."
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,47506251776.0,18.694353,14.356422,6.02,0.03,279.586,112.54,14.859512,0.28235,0.65992,Zoetis Inc.
ARDS,Healthcare,Biotechnology,8914.0,,-0.000754717,-0.02,0.045,,0.0002,-0.002222222,-0.05108,,"Aridis Pharmaceuticals, Inc."
IWM,,,,20.45617,1.2920336,,,,282.56,,,,iShares Russell 2000 ETF
DHI,Consumer Cyclical,Residential Construction,41535905792.0,13.753053,1.7665079,10.65,-0.023,27.453,146.47,12.169234,0.09513,0.13084,"D.R. Horton, Inc."
RSG,Industrials,Waste Management,62989991936.0,29.763504,5.2469316,6.85,0.022,115.348,203.88,25.332972,0.12893,0.18301001,"Republic Services, Inc."
